"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50";"51";"52";"53";"54";"55";"56";"57";"58";"59";"60";"61";"62";"63";"64";"65"
"SANTOS JUANES";"101012";"SANTOS JUANES";"1";"VALENCIA";"1";"PL.MERCADO CENTRAL,S/N";"21";"46001";"963916354";;;;;"5";;;;"VIERNES DE 11 A 13H";"11";"23";"16";"18";"13";"77";"22";"1";"1";;;;;"3360";;"6648";"750";;"960";;;;;;"2790";"14508";"2587";"359";"2148";"142";"583";"361";"1410";;;"750";;;;"850";"4788";"13978";;"1";"219";"2013"
"SAN ALBERTO MAGNO";"205014";"SAN ALBERTO MAGNO";"5";"VALENCIA";"2";"MENENDEZ Y PELAYO,29";"21";"46010";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"219";
"SAN ISIDORO OBISPO";"205015";"SAN ISIDORO OBISPO";"5";"VALENCIA";"2";"JAIME ROIG,23";"21";"46010";"963692102";"SANISIDOROOB@GMAIL.COM";;"6";"5";"1";;;"3";"MARTES JUEVES DE 18,45 A 20H";"32";"77";"54";"55";"41";"127";"18";;;;;;;"8655";"5400";"25771";;"500";;"807";;;;;"850";"41983";"12823";"915";"5300";"483";"1473";"9732";;;"30";;;;;;;"30756";;"1";"219";"2013"
"SAN JUAN DE AVILA";"205016";"SAN JUAN DE AVILA";"5";"VALENCIA";"2";"ALEMANIA,1";"21";"46010";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"219";
"SAN LEANDRO OBISPO";"205017";"SAN LEANDRO OBISPO";"5";"VALENCIA";"2";"CIUDAD DE MULA,8";"21";"46021";"963932600";"PARROQUIASANLEANDRO@GMAIL.COM";;"3";"9";"12";;;;"JUEVES DESDE LAS 18H. DESPUES NOS REUNIMOS TODOS";"11";"64";"61";"11";"30";"301";;"11";;;;"1";"1";"11579";;"1590";;;"3000";"1611";;;;;"1373";"19153";"1581";"1267";"1500";"1765";"1660";"1500";"5300";;"411";;;;;;"3380";"18364";;"1";"219";"2013"
"SAN PASCUAL BAYLON";"205018";"SAN PASCUAL BAYLON";"5";"VALENCIA";"2";"DR.MOLINER,10";"21";"46010";"963613061";"spbcari@hotmail.com";;"2";"13";"15";;;"1";"LUNES A VIERNES DE 9 A 14H";"73";"160";"122";"111";"102";"330";"94";"6";;;;;"1";"31059";"2697";"26275";"1775";;;;;;;;;"61806";"13900";"11500";"600";"800";"2675";"3100";"7150";"500";"1775";;;;;"1490";"15712";"59202";;"1";"219";"2013"
"CRISTO REY";"101019";"CRISTO REY";"1";"VALENCIA";"1";"SAN VICENTE,126";"21";"46007";"963411544";"PARROQUIACRISTOREYVALENCIA@HOTMAIL.COM";;"4";"10";"14";;;"2";"PRIMER MARTES DE MES";"4";"26";"22";"3";"12";"50";;;;;;;;;;"820";"950";"1500";;;;;;;;"3270";"1113";"201";;"63";"156";"250";;;;;;;;;;"1783";;"1";"219";"2013"
"EL BUEN PASTOR";"101020";"EL BUEN PASTOR";"1";"VALENCIA";"1";"ERUDITO ORELLANA,22";"21";"46008";"963351643";"CARITAS@BUENPASTOR.COM";"http://www.parroquiabuenpastor.com/";"7";"13";"20";;;"6";"LUNES Y MIERCOLES DE 19 A 20,30H";"30";"65";"67";"28";;"150";"55";"1";;;;;"1";"6000";;"9160";;;"940";"5042";;;;;;"21142";"4880";"9121";;"2716";"210";"3502";;;"403";;;;;;;"20832";;"1";"219";"2013"
"NTR.SRA.DEL SOCORRO";"101021";"NTR.SRA.DEL SOCORRO";"1";"VALENCIA";"1";"MARQUES DE ZENETE,16";"21";"46007";"963842273";;;"1";"4";"5";;;;"LUNES DE 19 A 21H";"35";"51";"67";"19";"21";"236";"40";"3";"1";;;;"1";"9987";;"3180";;;"1360";;;;;;;"14527";"5728";"3000";"1836";"123";"387";"370";"400";;"110";;;;;;"2689";"14643";;"1";"219";"2013"
"SAN ANTONIO DE PADUA";"101022";"SAN ANTONIO DE PADUA";"1";"VALENCIA";"1";"SAN JACINTO,20";"21";"46008";"963822708";;;"3";"6";"9";"1";;"1";"LUNES DE 19 A 20H";"23";"9";"25";"7";"11";"82";"22";;;;;;;"6082";"8406";"2690";"1210";"1452";"500";;;;;;"5678";"26018";"1137";;"720";;"5965";;;;"435";"1210";"2100";"4900";"1000";"5104";"3000";"25571";;"1";"219";"2013"
"SAN FERNANDO REY";"101023";"SAN FERNANDO REY";"1";"VALENCIA";"1";"ALMOINES,1";"21";"46018";"963855299";;;"8";"10";"18";;;"1";"LUNES Y JUEVES DE 19 A 20H";"21";"62";"64";"19";"50";"248";"83";;;;;;;"16224";"4187";"6979";"2010";"600";"5175";"360";;;;;;"35535";"10540";"3250";"7863";"140";;;"1350";;"849";"2500";"4600";"2000";;;;"33092";;"1";"219";"2013"
"SAN PEDRO PASCUAL";"101025";"SAN PEDRO PASCUAL";"1";"VALENCIA";"1";"MAESTRO GUERRERO,3";"21";"46008";"963856808";;;"10";"7";"17";;;"4";"SEMANAL DE 10,30 A 13H";"14";"35";"36";"13";"11";"132";"27";"4";;;;;;"14504";;"4355";;;;;;;;;"469";"19328";"6350";"5068";"900";"874";"3648";"288";;;"25";;;;;;"1070";"18223";;"1";"219";"2013"
"SAN RAIMUNDO DE PEÑAFORT";"101026";"SAN RAIMUNDO DE PEÑAFORT";"1";"VALENCIA";"1";"ALBACETE,43 bajo";"21";"46007";;;;"4";"12";"16";;;;"JUEVES DE 18 A 20H";"40";"110";"125";"25";"20";"373";"54";;;;;;"1";"8363";;"1185";;;"8000";"530";;;;;"4482";"22560";"9388";"6889";"730";"2058";;"1052";;;;"750";;;;;;"20867";;"1";"219";"2013"
"SAN VICENTE MARTIR";"101027";"SAN VICENTE MARTIR";"1";"VALENCIA";"1";"ERMITA,1";"21";"46007";"963411692";;"http://www.sanvicentelaroqueta.es/";"1";"8";"9";"1";;"3";"MARTES DE 19 A 20,30";"16";"51";"54";"13";"27";"149";"33";;;;"1";;;;"2300";"440";;;"2600";;;;;;;"5340";"1300";"130";;"70";"600";;;;"40";;;"1440";;;"2600";"6180";;"1";"219";"2013"
"STO.DOMINGO SAVIO Y SAN EXPEDITO MARTIR";"101028";"STO.DOMINGO SAVIO Y SAN EXPEDITO MARTIR";"1";"VALENCIA";"1";"MARIANO RIBERA,20";"21";"46018";"963347582";;"http://domingosaviovalencia.com/";"5";"6";"11";;;"2";"MARTES DE 18 A 20H";"16";"42";"38";"20";"19";"161";"57";;;;;;;"4280";;;"600";;;;;;;;;"4880";"385";"2490";"600";;;;;;;"600";;;;;"300";"4375";;"1";"219";"2013"
"ESPIRITU SANTO";"205037";"ESPIRITU SANTO";"5";"VALENCIA";"2";"Av. Blasco Ibañez, 155";"21";"46022";"963291327";"ESPIRITUSANTOVAL@HOTMAIL.COM";;"4";"6";"10";;;"3";"MIERCOLES DE 17,30 A 19,30H";"17";"50";"17";"50";"25";"185";"52";;"1";;;"1";"1";"3833";;"3867";"787";"1815";"400";"5134";"8000";;;;"16";"23852";"2594";"3800";"2100";"1896";"300";"1668";"600";;"24";"787";"1815";;;;"7100";"22684";;"1";"219";"2013"
"NTRA.SRA.DE LOS DESAMPARADOS";"207039";"NTRA.SRA.DE LOS DESAMPARADOS";"7";"VALENCIA";"2";"FONTILLES,27";"21";"46024";;;;"1";"12";"13";"1";"2";"1";"MARTES DE 17 A 19,30H";"97";"482";"231";"348";"64";"2088";;"3";;;;;"1";"1434";;"333";"100";;"4000";"1473";"14500";"5890";;"3125";"2500";"33355";"3711";"10242";;"662";"965";"926";"15100";;;"100";;;;;;"31706";;"1";"219";"2013"
"NTRA.SRA DE LOS DOLORES/SAGRADA FAMILIA";"205040";"NTRA.SRA DE LOS DOLORES/SAGRADA FAMILIA";"5";"VALENCIA";"2";"CAMPOAMOR,94";"21";"46022";;;;"4";"1";"5";"3";;"3";"LUNES Y JUEVES DE 17 A 20H";"73";"217";"231";"59";"36";"1160";"495";"21";"1";;;;"1";"2180";;"1450";;;"16000";"13309";;;;;;"32939";"21600";"2380";"1800";"760";"1600";"2800";;;"420";;;;;;;"31360";;"1";"219";"2013"
"PATRIARCA SAN JOSE";"205041";"PATRIARCA SAN JOSE";"5";"VALENCIA";"2";"AVD. DEL PUERTO,153";"21";"46022";"963304637";;;"3";"8";"11";"1";;"1";"MIERCOLES DE 18,30 A 20,30H";"34";"87";"53";"68";"41";"605";"263";;;;;"1";"1";;"7600";"8142";"968";;"6030";;;;;;;"22740";"12116";"6208";"1200";"984";"480";"441";;;;"968";;;;;;"22397";;"1";"219";"2013"
"SAN MAURO MÁRTIR Y JESÚS OBRERO";"207042";"SAN MAURO MÁRTIR Y JESÚS OBRERO";"7";"VALENCIA";"2";"NOGUERA,11";"21";"46023";"963303072";;;;"2";"6";;;"2";"MARTES DE 17 A 20H";"17";"72";"45";"44";"44";"229";"73";;;;;;"1";"1111";;"2850";;;"6000";;;;;;"2910";"12871";"5754";"4192";;"1136";;"767";;;"377";;;;;;"377";"12603";;;"219";"2013"
"SANTA MARIA DEL MAR";"207043";"SANTA MARIA DEL MAR";"7";"VALENCIA";"2";"TRIBUNAL DE LES AIGÜES,1";"21";"46011";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"219";
"NTRA.SRA.DEL BUEN CONSEJO";"205044";"NTRA.SRA.DEL BUEN CONSEJO";"5";"VALENCIA";"2";"LEBON,19";"21";"46023";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"219";
"NTRA.SRA.DE LOURDES";"205045";"NTRA.SRA.DE LOURDES";"5";"VALENCIA";"2";"REPUBLICA ARGENTINA,21";"21";"46021";"963690557";;;"2";"5";"7";;;;"LUNESA DE 17 A 20H";"7";"88";"37";"58";"43";"345";"86";;;;;;"1";"4133";;"300";"575";"407";"1050";"5396";"3000";;;;;"14861";"7751";"120";"1200";"931";;"2205";"2320";;"575";"407";;;;;;"15509";;"1";"219";"2013"
"SAN FRANCISCO JAVIER";"205047";"SAN FRANCISCO JAVIER";"5";"VALENCIA";"2";"PZA.XUQUER,1";"21";"46021";"963695854";"PARROQUIA.VAL@ESIC.ES";;"3";"4";"7";;;"1";"MIERCOLES DE 17,30 A 19.30H";"12";"61";"59";"14";"57";"171";"23";"15";;;"1";;;"7900";"851";;;;;;;;;;;"8751";"3430";"3150";"1200";"475";;"1103";;;;;;;;;"570";"9928";;"1";"219";"2013"
"SAN JUAN DE LA RIBERA";"205048";"SAN JUAN DE LA RIBERA";"5";"VALENCIA";"2";"AVD.DEL PUERTO,69";"21";"46021";"963690152";"M.CARMEN.SALAVERT@HOTMAIL.COM";;"7";"8";"15";;;"2";"MARTES DE 10 A 12H";"80";"160";"200";"40";"43";"810";"68";;"1";;;;;;;"14683";;;"8000";;;"3815";"1500";"26181";"1450";"55629";"10480";"31446";;"1430";"3618";;"3048";;"1680";;;;;;"2427";"54129";;"1";"219";"2013"
"SAN PRUDENCIO OBISPO";"205049";"SAN PRUDENCIO OBISPO";"5";"VALENCIA";"2";"AVD.BLASCO IBAÑEZ,119";"21";"46022";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"219";
"SANTA ANA";"205050";"SANTA ANA";"5";"VALENCIA";"2";"EDUARDO BOSCA,4";"21";"46023";"963375716";"SANTAANACARITAS@GMAIL.COM";;"1";"9";"10";;;"2";"JUEVES DE 18,30 A 21H";"6";"18";"18";"6";"8";"70";"20";"3";"1";;;"1";"1";"7000";"2420";"800";;;"575";"1682";;;;;;"12477";"4151";"850";"1204";"231";"215";"385";;;"505";;;;;;;"7541";;"1";"219";"2013"
"NIÑO JESÚS DEL HUERTO";"102051";"NIÑO JESÚS DEL HUERTO";"2";"VALENCIA-EL PALMAR";"1";"PL.SEQUIOTA,14";"21";"46012";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"219";
"NTRA.SRA. VIRGEN  DE LEPANTO";"102053";"NTRA.SRA. VIRGEN  DE LEPANTO";"2";"VALENCIA-CASTELLAR";"1";"VIRGEN DE LEPANTO,17";"21";"46026";"963962018";;;;"8";"8";;;"2";"UN DIA A LA SEMANA";"22";"38";"18";"42";"14";"159";"56";;;;;;"1";"3385";"822";"870";;;;;"1180";;"1219";;;"7476";"1560";"4014";;"35";"742";"119";;;;;;;;;;"6470";;"1";"219";"2013"
"SAN MARTIN DE PORRES";"102057";"SAN MARTIN DE PORRES";"2";"VALENCIA.EL OLIVERAL";"1";"Ciudad, 25";"21";"46026";"639629935";;;;"7";"7";;;"5";"JUEVES ALTERNOS DE 17,30 A 19H";"8";"20";"7";"21";;"96";"49";"1";;;;;;"1800";"710";"163";;;"4000";"1300";;;"1000";;"2857";"11830";"1200";"3827";;;;;"1000";;"60";;;;;;"267";"6354";;"1";"219";"2013"
"STA,MARIA MADRE DE CRISTO";"102058";"STA,MARIA MADRE DE CRISTO";"2";"VALENCIA- PINEDO";"1";"MOSEN CUENCA,23";"21";"46012";"963248280";"jrbayarri@yahoo.es";;"1";"3";;;;;"MARTES Y MIERCOLES DE 20 A 21H";"11";"7";"10";"8";"9";"72";"19";"3";"1";"1";;;"1";"2600";"960";"1070";"560";"950";"239";;;;;;;"6379";"3010";"1510";;"280";;;;;;"560";"950";;;;;"6310";;"1";"219";"2013"
"SANTISIMO CRISTO DE LA AGONIA";"313059";"SANTISIMO CRISTO DE LA AGONIA";"13";"VALENCIA";"3";"PL.IGLESIA HORNO DE ALCEDO,12";"21";"46026";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"219";
"SAN PIO X ";"209082";"SAN PIO X ";"9";"VALENCIA";"2";"MONESTIR DE POBLET,16 BAJO";"21";"46015";"963401617";;;"3";"8";"11";;"1";;"LUNES DE 17 A 18,30H";"25";"60";"10";"13";"25";"275";"47";;;;;;;"2248";;"1796";;;;;;;;;"1592";"5636";"1970";"2582";;;;;;;;;;;;;;"4552";;"1";"219";"2013"
"BEATO FRANCISCO PINAZO";"208067";"BEATO FRANCISCO PINAZO";"8";"VALENCIA";"2";"Calle Guillem Ferrer, 3, 3";"21";"46009";"963477799";;;"3";"1";"4";;;"1";"JUEVES DE 16 A 18H";"40";"36";"44";"32";"75";"226";"85";"3";;;;;"1";"300";"4144";"9093";"120";"1000";;"13381";;;;;"35";"28073";"2599";"3883";;"148";"601";"237";"13136";;"2257";"120";"1000";"2000";;;"130";"26111";;"1";"219";"2013"
"NUESTRA SEÑORA DE LA ESPERANZA";"208069";"NUESTRA SEÑORA DE LA ESPERANZA";"8";"VALENCIA";"2";"DR.PESET ALEIXANDRE,130";"21";"46025";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"219";
"NUESTRA SEÑORA DE LA PAZ";"208070";"NUESTRA SEÑORA DE LA PAZ";"8";"VALENCIA";"2";"RAFAEL COMPANy, 4-6";"21";"46025";"963659519";"JESUSALBALATE@GMAIL.COM";;"5";"4";"9";;;"1";"MIERCOLES DE 17 A 17,30H";"11";"35";"61";"70";"35";"563";"249";"2";;;;;;"3048";"3425";"7684";;;;"1718";"1150";;;;"3651";"20676";"7287";"11857";;;;;;;"2695";;;;;;"250";"22089";;"1";"219";"2013"
"NUESTRA SEÑORA DE TEJEDA";"208071";"NUESTRA SEÑORA DE TEJEDA";"8";"VALENCIA";"2";"JOSE GROLLO,127";"21";"46025";"963488000";;;"1";"5";;;;"2";"JUEVES DE 17 DE 17,30 A 19,30 U OCHO";"16";"46";"41";"22";"29";"185";"74";"1";;;;;;"672";;"3103";"400";"833";;;;;;;;"5008";"458";"2532";;"21";;;;;;"400";"833";;;;;"4244";;"1";"219";"2013"
"SAN FRANCISCO DE ASIS";"208072";"SAN FRANCISCO DE ASIS";"8";"VALENCIA";"2";"DR.NICASIO BENLLOCH,32";"21";"46015";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"219";
"SAN JOSE ARTESANO(CIUDAD FALLERA)";"208073";"SAN JOSE ARTESANO(CIUDAD FALLERA)";"8";"VALENCIA";"2";"EL NINOT,22";"21";"46025";"618319143";;;"2";"3";"5";;;"5";"JUEVES DE 17 A 19H ";"8";"18";"13";"13";"26";"49";"21";;;;;;"1";"362";;"170";;;"2000";"961";;;;;"18";"3511";"347";"453";;;"560";"140";;;;;;;;;"160";"1660";;"1";"219";"2013"
"SAN ROQUE";"208074";"SAN ROQUE";"8";"VALENCIA";"2";"PL.NUEVA DE LA IGLESIA,  4";"21";"46025";"963173698";"CARITAS-SANROQUE@HOTMAIL.COM";;"2";"7";"9";;"1";"2";"MARTES DE 18 A 19,30H";"31";"102";"79";"54";"34";"365";"130";;;;;;"1";"2573";;"853";"282";"605";;;;;;;"13316";"17629";"2724";"2486";;"90";;;;;"52";"282";"605";;;;"840";"7079";;"1";"219";"2013"
"SANTA ROSA DE LIMA";"208075";"SANTA ROSA DE LIMA";"8";"VALENCIA";"2";"SIERRA DE AGULLENT,20";"21";"46025";;"CARITASSANTAROSA@HOTMAIL.COM";;"4";"3";"7";;"1";;"LUNES";"10";"23";"16";"17";"33";"104";"27";;"1";"1";;;"1";"2045";;;;"185";"412";;"3000";;;;;"5642";"740";"1954";;;;;"200";;"393";"185";"412";;"552";;;"4436";;"1";"219";"2013"
"LA RESURECCION DEL SEÑOR";"209076";"LA RESURECCION DEL SEÑOR";"9";"VALENCIA";"2";"PL.POETA SALVADOR RUEDA";"21";"46009";"963481812";;;"4";"5";"9";;;"1";"MARTES A LAS 18H
JUEVES A LAS 17,30H";"10";"42";"34";"18";"26";"150";"55";"7";;;;;;"799";;"1476";"184";;"3400";"860";;;;"250";;"6969";"2407";"425";"470";;"464";"353";"2540";;"300";"184";;;;;;"7143";;"1";"219";"2013"
"NUESTRA SEÑORA DE LA MISERICORDIA";"209077";"NUESTRA SEÑORA DE LA MISERICORDIA";"9";"VALENCIA";"2";"PL.IGLESIA,11 CAMPANAR";"21";"46015";"963492818";"VATREBLE50@GMAIL.COM";;"3";"12";"16";;;"1";"MARTES DE 17,30 A 19,15H";"8";"23";"17";"14";;"76";"8";;;;;;;;;"1050";"1445";;"2000";;;;;;"2477";"6972";"659";"585";"2400";"781";"371";;;;;"1445";;;;;;"6241";;"1";"219";"2013"
"SAN IGNACIO DE LOYOLA";"209078";"SAN IGNACIO DE LOYOLA";"9";"VALENCIA";"2";"PL.DIPUTAT LLUIS LUCIA,18";"21";"46019";"963494133";"BENJAOLTRA@YAHOO.ES";"http://www.sannacho.es/";"9";"10";"19";;;"3";"MIERCOLES A VIERNES DE 18,30 A 20H";"3";"4";"4";"4";"4";"21";"6";"2";"1";"1";;;"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1";"219";"2013"
"SAN JUAN BOSCO";"209079";"SAN JUAN BOSCO";"9";"VALENCIA";"2";"GREGORIO GEA,19";"21";"46009";"963495548";"JEROCA48@HOTMAIL.COM";;"6";"15";"21";;;"2";"MIERCOLES DE 18 A 21H";"16";"68";"69";"15";"25";"220";"78";;;;;"1";"1";"4290";"1440";"420";"830";;;"161";;;;;"1903";"9044";"2265";"387";"3400";"17";"575";"419";"60";;"44";"830";;;;"584";;"8581";;"1";"219";"2013"
"SAN LUIS OBISPO";"209080";"SAN LUIS OBISPO";"9";"VALENCIA";"2";"EDUARDO SOLER PEREZ,1";"21";"46015";"963492832";"PSLUISOB@GMIAL.COM";;"3";"2";"5";;;;"MARTES DE 18 A 20H";"3";"3";"3";"3";"6";"14";"6";"1";;;"1";;"1";;;"365";;"295";"1320";"496";;;"2500";;"8051";"13027";"1713";;"2400";"105";;;;;;;;;;;;"4218";;"1";"219";"2013"
"SANTIAGO APOSTOL Y MARIA MADRE DE LA IGLESIA";"209081";"SANTIAGO APOSTOL Y MARIA MADRE DE LA IGLESIA";"9";"VALENCIA";"2";"DR.OLORIZ,36-38";"21";"46009";"963473715";;;"4";"7";"14";;;;"JUEVES DE 17,30 A 19,30H";"9";"83";"65";"27";;"315";"101";;"1";;;;;"1576";;"5443";;;;;;;;;;"7019";"773";;"2891";"73";"255";"1885";;;;;;;;;;"5877";;"1";"219";"2013"
"SAGRADO CORAZON DE JESUS";"310083";"SAGRADO CORAZON DE JESUS";"10";"BURJASSOT";"3";"TEODORO LLORENTE,9";"7";"46100";"963638120";"BEVIJESE2@HOTMAIL.COM";;"6";"7";"13";"1";;;"MIERCOLES DE 18,30 A 20H";"25";"77";"16";"86";"49";"302";"21";;;;;;;"756";"210";"1655";;;"6000";"327";;;;;;"8948";"1258";"3799";"3875";"6";;;"60";;"50";;"100";;;;;"9148";;;"219";"2013"
"SAN JOSE OBRERO";"310084";"SAN JOSE OBRERO";"10";"BURJASSOT";"3";"JUAN BTA. GIL,23";"7";"46100";"963639515";;;"6";"22";"28";;"2";"2";"LUNES A PARTIR DE LAS 17H";"17";"31";"20";"78";"73";"321";"84";;;;"1";;;"580";;"6401";"200";;"3940";"2044";"600";;;"2000";"12000";"27765";"4405";"520";;;"330";"400";"2700";;;"410";;;;;"19000";"27765";;;"219";"2013"
"SAN JUAN DE RIBERA";"310085";"SAN JUAN DE RIBERA";"10";"BURJASSOT";"3";"ISABEL LA CATOLICA,23";"7";"46100";"963638541";"PARROQUIASANJUANDERIBEROBUEJAST@HOTMAIL.COM";;"5";"6";"11";;;"1";"MARTES Y JUEVES DE 20 A 21,30H";"40";"78";"18";"100";"51";"454";"185";"1";;;;;;;"1050";"2791";;;"4000";"3359";;;;"100";"5191";"16491";"6673";"1050";;"187";;"501";"6644";;"263";;;"580";;;"300";"16198";;;"219";"2013"
"SAN MIGUEL ARCANGEL";"310086";"SAN MIGUEL ARCANGEL";"10";"BURJASSOT";"3";"PL.DELS FURS,5";"7";"46100";"963638078";;;"2";"7";"9";;;"2";"LOS MARTES DE 19 A 21H";"19";"35";"16";"38";"46";"115";"34";;;;"1";;"1";"3306";"8422";"4413";"1125";;"4100";"920";;;;;;"22286";"6439";"12453";"3600";;"695";"400";;;"150";"400";;;;;"69";"24206";;;"219";"2013"
"SANTISIMA TRINIDAD";"310087";"SANTISIMA TRINIDAD";"10";"BURJASSOT";"3";"VISTA ALEGRE,17";"7";"46100";"963630552";"PARROQUIA.STMA.TRINIDAD@GMAIL.COM";;"4";"7";"11";"1";"1";"3";"LUNES DE 18 A 19H";"30";"45";"44";"31";"42";"214";"68";"3";;;"1";"1";"1";"5277";;"920";"340";"450";"1760";"2776";;;;;;"11523";"6411";"959";"2400";;"336";;;;"281";;;;;;;"10387";;;"219";"2013"
